OTUID	Group
ASV_50	OE5
ASV_156	OE6
ASV_68	WT1
ASV_456	WT1
ASV_215	WT1
ASV_51	WT3
ASV_499	WT3
ASV_82	KO2
ASV_66	KO3
ASV_410	KO3
ASV_34	KO4
ASV_50	KO4
ASV_66	KO4
ASV_21	KO6
ASV_31	OE1
ASV_60	OE1
ASV_62	OE2
ASV_47	OE5
ASV_36	WT3
ASV_47	WT3
ASV_50	WT3
ASV_53	WT3
ASV_33	WT4
ASV_76	WT4
ASV_56	WT5
ASV_80	WT6
ASV_55	KO1
ASV_58	KO3
ASV_127	KO3
ASV_44	KO4
ASV_48	KO4
ASV_7	OE1
ASV_41	OE2
ASV_70	OE2
ASV_855	OE2
ASV_22	OE3
ASV_35	OE3
ASV_373	OE3
ASV_69	OE5
ASV_44	WT3
ASV_52	WT3
ASV_48	WT5
ASV_21	KO1
ASV_37	KO1
ASV_42	KO1
ASV_23	KO2
ASV_68	KO2
ASV_171	KO2
ASV_54	KO3
ASV_59	KO3
ASV_95	KO3
ASV_141	KO3
ASV_62	KO4
ASV_28	KO5
ASV_123	KO6
ASV_27	OE2
ASV_37	OE2
ASV_39	OE2
ASV_61	OE2
ASV_34	OE3
ASV_84	OE3
ASV_24	OE4
ASV_41	OE5
ASV_38	OE5
ASV_26	OE6
ASV_173	OE6
ASV_38	WT1
ASV_45	WT1
ASV_105	WT1
ASV_80	WT3
ASV_34	WT4
ASV_46	WT4
ASV_34	WT5
ASV_33	WT5
ASV_47	WT5
ASV_24	WT6
ASV_60	WT6
ASV_23	KO1
ASV_46	KO1
ASV_58	KO1
ASV_81	KO5
ASV_78	KO5
ASV_97	KO5
ASV_66	KO6
ASV_1021	OE1
ASV_43	OE4
ASV_92	OE4
ASV_44	OE5
ASV_42	OE6
ASV_61	WT1
ASV_47	WT2
ASV_42	WT4
ASV_54	WT4
ASV_20	WT6
ASV_13	KO2
ASV_173	KO2
ASV_83	KO2
ASV_126	KO2
ASV_33	KO3
ASV_72	KO3
ASV_21	KO4
ASV_106	KO4
ASV_62	KO5
ASV_52	OE2
