Gene	Transcription_factor
NM_201371	Esrrb
NM_021390	Esrrb
NM_001178049	H3K4me1
NM_033604	H3K4me1
NM_172650	H3K4me1
NM_008709	Sox2
NM_054082	H3K4me1
NM_026602	Med1
NM_012058	H3K27ac
NM_008857	Esrrb
NM_010907	Nanog
NM_013928	Esrrb
NM_001040400	Sox2
NM_028072	Med1
NM_011898	Med1
NM_010135	Med1
NM_144873	Nanog
NM_019426	H3K4me1
NM_145581	Nanog
NR_003513	Klf4
NM_027544	Esrrb
NM_009320	Med1
NM_033523	H3K27ac
NM_146036	Sox2
NR_029384	H3K4me1
NM_007974	H3K4me1
NM_172584	H3K4me1
NM_024279	Med1
NM_001195390	Esrrb
NM_010365	H3K4me1
NR_033689	H3K27ac
NM_175238	Sox2
NM_001163501	H3K4me1
NM_021878	H3K4me1
NM_010887	Nanog
NM_001024918	Nanog
NM_007430	Esrrb
NR_036469	Esrrb
NM_144955	Nanog
NM_011682	Nanog
NM_001178049	Esrrb
NM_013825	H3K27ac
NM_009448	H3K27ac
NM_175272	Sox2
NM_008162	H3K4me1
NM_026602	Nanog
NM_028850	Nanog
NM_010608	Esrrb
NM_008981	H3K4me1
NM_146075	H3K27ac
NM_008452	Sox2
NM_001042503	H3K4me1
NM_013735	Nanog
NM_133904	Sox2
NM_011551	Med1
NM_019739	Nanog
NM_007836	Med1
NM_001033420	Nanog
NM_177740	Nanog
NM_023598	Nanog
NM_010262	H3K4me1
NM_028003	Med1
NM_013633	Nanog
NM_028049	H3K4me1
NM_178394	H3K27ac
NM_001039169	Sox2
NM_010898	H3K27ac
NM_001033466	Esrrb
NR_037145	Nanog
NM_010638	Esrrb
NM_009556	Esrrb
NM_001033298	Sox2
NM_021542	Nanog
NM_001025599	H3K4me1
NM_001113386	Esrrb
NM_013827	Sox2
NM_146075	Nanog
NM_198618	Esrrb
NM_007702	Esrrb
NM_008695	Esrrb
NM_001017525	Med1
NM_029455	Nanog
NM_018773	H3K27ac
NM_181073	Esrrb
NM_153097	H3K27ac
NM_026602	H3K4me1
NM_146477	Sox2
NM_173866	Med1
NM_019426	H3K27ac
NM_028053	Esrrb
NM_008291	H3K4me1
NM_001159965	H3K27ac
NR_035423	Nanog
NM_021878	Nanog
NM_013928	Nanog
NM_009769	Esrrb
NR_015595	H3K27ac
NM_001142642	Esrrb
NM_008342	H3K27ac
NM_178415	Nanog
NM_010206	Nanog
NM_001166408	Nanog
NM_206856	Esrrb
NM_025427	Esrrb
NM_029081	H3K4me1
NM_001003918	Sox2
NM_009929	Esrrb
NM_001146000	H3K4me1
NM_029835	H3K27ac
NM_011908	H3K4me1
NM_177224	Med1
NM_199028	Nanog
NM_001177776	H3K27ac
NM_008652	Sox2
NM_080555	H3K4me1
NM_133904	Nanog
NM_024440	Med1
NM_001110824	Nanog
NM_133752	H3K4me1
NM_175165	Nanog
NR_003564	H3K4me1
NM_026886	Esrrb
NM_011600	Nanog
NM_008679	Esrrb
NM_001110824	H3K4me1
NM_012055	Nanog
NM_001167967	Nanog
NR_030695	Esrrb
NM_023598	Nanog
NM_028419	Sox2
NM_009769	Esrrb
NM_001159517	H3K27ac
NM_001085355	Nanog
NM_008452	Sox2
NM_021391	Esrrb
NM_027694	H3K27ac
NM_001161845	H3K27ac
NM_029083	Esrrb
NR_033786	Esrrb
NM_015826	H3K27ac
NM_153522	H3K27ac
NM_001177631	Nanog
NM_007548	Nanog
NM_133219	H3K27ac
NM_008957	Esrrb
NM_008342	H3K4me1
NM_012023	Med1
NM_007657	Nanog
NM_008695	H3K27ac
NM_029441	Esrrb
NR_033453	Nanog
NM_015826	Sox2
NM_178606	Med1
NM_001166584	H3K27ac
NM_054050	H3K27ac
NM_007731	Esrrb
NM_027241	H3K27ac
NM_001161845	Med1
NM_009980	H3K27ac
NM_172409	H3K4me1
NM_010135	Esrrb
NM_011274	Med1
NM_011705	Esrrb
NM_028043	Nanog
NM_025705	Nanog
NM_175272	Nanog
NM_008910	H3K4me1
NM_001024699	Esrrb
NM_008381	Med1
NM_011613	Nanog
NM_001017525	Nanog
NR_030690	H3K4me1
NM_023638	Nanog
NR_029384	Nanog
NM_001039169	Nanog
NM_181595	H3K4me1
NM_018811	Med1
NM_009769	Nanog
NM_010733	Sox2
NM_008709	Nanog
NM_207255	H3K27ac
NM_013642	Med1
NM_001081665	Nanog
NM_026391	H3K4me1
NM_009823	Nanog
NM_153097	H3K4me1
NM_001166371	Sox2
NM_008729	Nanog
NM_172308	Esrrb
NM_028194	Sox2
NM_175272	H3K4me1
NM_153062	H3K4me1
NM_145123	Nanog
NM_001081144	Nanog
NM_019571	H3K4me1
NM_198422	Sox2
NM_017479	H3K4me1
NM_019643	H3K4me1
NM_027227	Nanog
